live_id,date,slug,url_path,title,redirect_map_status,note
6304,2025-02-14,malak-sechko-run25,/malak-sechko-run25/,Malak Sechko Run&#8217;25,301,
6328,2025-03-05,baba-marta-run25,/baba-marta-run25/,Baba Marta Run’25,301,
6345,2025-03-30,7-hills-run25,/7-hills-run25/,7 Hills Run&#8217;25,301,
6361,2025-05-27,lyulin-trail-run25,/lyulin-trail-run25/,Lyulin Trail Run&#8217;25,301,
6392,2025-10-08,buhovo-half-marathon,/buhovo-half-marathon/,Buhovo Half Marathon,410,
6427,2025-10-27,the-cactus-run2025,/the-cactus-run2025/,The Cactus Run&#8217;2025,410,
6459,2025-11-30,the-christmas-run-2025,/the-christmas-run-2025/,The Christmas Run&#8217;25,410,
6497,2026-01-08,golyam-sechko-run26,/golyam-sechko-run26/,Golyam Sechko Run&#8217;26,301,
6534,2026-02-15,malak-sechko-run26,/malak-sechko-run26/,Malak Sechko Run&#8217;26,301,
6551,2026-03-08,baba-marta-run26,/baba-marta-run26/,Baba Marta Run&#8217;26,301,
6575,2026-05-20,lyulin-trail-run26,/lyulin-trail-run26/,Lyulin Trail Run&#8217;26,301,
