event,track_title,slug,distance_km,ascent_m,gpx_url,suggested_strava_name
Malak Sechko Run,Malak Sechko Run - 19KM,malak-sechko-run-19km,18.63,688,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/malak_sechko_run_19km.gpx,TrailSeries – Malak Sechko Run - 19KM
Palakaria,Palakaria 5km,palakaria-5km,4.91,123,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/palakaria_5km.gpx,TrailSeries – Palakaria 5km
Palakaria,Palakaria 10.7km,palakaria-107km,10.75,326,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/palakaria_10_7km.gpx,TrailSeries – Palakaria 10.7km
Palakaria,Palakaria 21.5KM,palakaria-215km,21.29,681,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/palakaria_21_5km.gpx,TrailSeries – Palakaria 21.5KM
Pancharevo Night Run,Pancharevo Night Run 6.3KM,pancharevo-night-run-63km,6.46,315,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pancharevo_night_run_6_3km.gpx,TrailSeries – Pancharevo Night Run 6.3KM
Pancharevo Night Run,Pancharevo Night Run 13.6KM,pancharevo-night-run-136km-0,13.69,826,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pancharevo_night_run_13_6km.gpx,TrailSeries – Pancharevo Night Run 13.6KM
Pancharevo Night Run,Pancharevo Night Run 19KM,pancharevo-night-run-19km,18.81,924,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pancharevo_night_run_19km_0.gpx,TrailSeries – Pancharevo Night Run 19KM
Pirin Skyrun,Pirin Skyrun 10KM,pirin-skyrun-10km,9.77,1312,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pirin_skyrun_10km.gpx,TrailSeries – Pirin Skyrun 10KM
Pirin Skyrun,Pirin Skyrun 34KM,pirin-skyrun-34km-0,33.58,2437,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pirin_skyrun_34km__0.gpx,TrailSeries – Pirin Skyrun 34KM
Pirin Vertical,Pirin Vertical,pirin-vertical,3.95,1164,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/pirin_vertical_.gpx,TrailSeries – Pirin Vertical
Simeonovo Run,Simeonovo Run 5KM,simeonovo-run-5km,5.35,319,,TrailSeries – Simeonovo Run 5KM
Simeonovo Run,Simeonovo Run 11km,simeonovo-run-11km,10.13,588,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/simeonovo_run_11km_0.gpx,TrailSeries – Simeonovo Run 11km
Simeonovo Run,Simeonovo Run - 19.5km,simeonovo-run-195km,19.39,1165,,TrailSeries – Simeonovo Run - 19.5km
The Cactus Run,The Cactus Run'7km - 2025,cactus-run7km-2025,6.98,246,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/the_cactus_run_7km_2025.gpx,TrailSeries – The Cactus Run'7km - 2025
The Cactus Run,The Cactus Run'15km - 2025,cactus-run15km-2025,15.11,614,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/the_cactus_run_15km_2025.gpx,TrailSeries – The Cactus Run'15km - 2025
The Cactus Run,The Cactus Run'21km - 2025,cactus-run21km-2025,21.67,866,,TrailSeries – The Cactus Run'21km - 2025
The Christmas Run,The Christmas Run 5.5km,christmas-run-55km,5.22,145,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/the_christmas_run_5_5km.gpx,TrailSeries – The Christmas Run 5.5km
The Christmas Run,The Christmas Run 11km,christmas-run-11km,10.46,262,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/the_christmas_run_11km.gpx,TrailSeries – The Christmas Run 11km
The Christmas Run,The Christmas Run - 15km,christmas-run-15km,14.2,616,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/the_christmas_run_15km.gpx,TrailSeries – The Christmas Run - 15km
The Christmas Run,The Christmas Run - 15.5km,christmas-run-155km-0,15.49,420,https://stg.trailseries.bg/wp-content/themes/exhibz-child/gpx/the_christmas_run_15_5km.gpx,TrailSeries – The Christmas Run - 15.5km
